"CHIEF_EXEC","CHIEF_EX_1","FACILITY_U","LONGITUDE","COUNTY","FACILITY_N","STREET","CITY_OR_BO","LATITUDE","TELEPHONE_","ZIP_CODE","geometry"
"Peter J Adamo","President","https://www.phhealthcare.org",-79.911309,"Washington","Penn Highlands Mon Valley","1163 Country Club Road","Monongahela",40.181929,"724-258-1000","15063",c(1351538.79475545, 2022039.88915815)
"Autumn DeShields","Chief Executive Officer","https://www.malvernbh.com",-75.170052,"Philadelphia","MALVERN BEHAVIORAL HEALTH","1930 South Broad Street Unit 4","Philadelphia",39.926195,"610-480-8919","19145",c(1750403.03560302, 2071311.4673621)
"Shawn Parekh","Chief Executive Officer","https://roxboroughmemorial.com",-75.209629,"Philadelphia","Roxborough Memorial Hospital","5800 Ridge Avenue","Philadelphia",40.028691,"215-483-9900","19128",c(1744638.08637078, 2081793.90378648)
"DIANE HRITZ","Chief Executive Officer","https://www.ashospital.net",-80.279073,"Washington","ADVANCED SURGICAL HOSPITAL","100 TRICH DRIVE
SUITE 1","WASHINGTON",40.156546,"7248840710","15301",c(1321398.56440861, 2014063.84893257)
"Tim Harclerode","Chief Executive Officer","https://www.conemaugh.org",-79.025128,"Somerset","DLP Conemaugh Meyersdale Medical Center","200 Hospital Drive","Meyersdale",39.809128,"814-634-5911","15552",c(1432632.03936402, 1993880.02965952)
"Richard McLaughlin MD MBA","Chief Executive Officer","https://towerhealth.org",-75.612132,"Montgomery","Pottstown Hospital, LLC","1600 East High Street","Pottstown",40.242729,"6103277000","19464",c(1706281.52042532, 2097905.90998571)
"Laura Murnyack","Interim CEO","https://bucktailmedicalcenter.org",-77.736487,"Clinton","Bucktail medical Center","1001 Pine Street","Renovo",41.327891,"570-923-1000","17764",c(1507604.53151231, 2181014.47953719)
"Adam Beck","Chief Executive Officer","https://www.selectspecialtyhospitals.com",-76.880126,"Dauphin","SELECT SPECIALTY HOSPITAL CENTRAL PENNSYLVANIA HARRISBURG","111 South Front Street","Harrisburg",40.258415,"717-724-6604","17110",c(1601294.9145782, 2077559.22033937)
"Pamela Keen","Chief Executive Officer","https://www.childrenshomepgh.org",-79.937363,"Allegheny","The Children's Home of Pittsburgh","5324 Penn Avenue","Pittsburgh",40.464241,"412-441-4884","15224",c(1344050.86253702, 2052845.55708938)
"Mark Papalia","President/CEO","https://www.kanecommunityhospital.com",-78.817053,"McKean","University of Pittsburgh Medical Center Kane","4372 US Route 6","Kane",41.671877,"8148378585","16735",c(1412488.65499332, 2202245.92577235)
